Year,Name,Sport,Event,Medal,Time/score,Host city,Host country,Season,Type,Note
2016,Mariel Zagunis,Fencing,Team Sabre Women,Bronze,,Rio,Brazil,summer,team,
2016,Simone Manuel,Swimming,50m Freestyle Women,Silver,:24.09,Rio,Brazil,summer,individual,
2016,Connor Jaeger,Swimming,1500m Freestlye Men,Silver,0.010179167,Rio,Brazil,summer,individual,
2016,Jeff Henderson,Track & Field,Long Jump Men,Gold,8.38,Rio,Brazil,summer,individual,
2016,Tori Bowie,Track & Field,100m Women,Silver,:10.83,Rio,Brazil,summer,individual,
2016,Kathleen Baker,Swimming,4x100 medley relay Women,Gold,0.002698264,Rio,Brazil,summer,team,
2016,Lilly King,Swimming,4x100 medley relay Women,Gold,0.002698264,Rio,Brazil,summer,team,
2016,Dana Vollmer,Swimming,4x100 medley relay Women,Gold,0.002698264,Rio,Brazil,summer,team,
2016,Simone Manuel,Swimming,4x100 medley relay Women,Gold,0.002698264,Rio,Brazil,summer,team,
2016,Cody Miller,Swimming,4x100 medley relay Men,Gold,0.002406829,Rio,Brazil,summer,team,
2016,Ryan Murphy,Swimming,4x100 medley relay Men,Gold,0.002406829,Rio,Brazil,summer,team,
2016,Michael Phelps,Swimming,4x100 medley relay Men,Gold,0.002406829,Rio,Brazil,summer,team,
2016,Nathan Adrian,Swimming,4x100 medley relay Men,Gold,0.002406829,Rio,Brazil,summer,team,
2016,Simone Biles,Gymnastics,Vault Women,Gold,15.966,Rio,Brazil,summer,individual,
2016,Matt Kuchar,Golf,Men,Bronze,,Rio,Brazil,summer,individual,
2016,Alexander Naddour,Gymnastics,Pommel Horse Men,Bronze,,Rio,Brazil,summer,individual,
2016,Bethanie Mattek-Sands,Tennis,Mixed Doubles,Gold,"7-6, 6-1",Rio,Brazil,summer,team,
2016,Jack Sock,Tennis,Mixed Doubles,Gold,"7-6, 6-1",Rio,Brazil,summer,team,
2016,Rajeev Ram,Tennis,Mixed Doubles,Silver,"6-7, 1-6",Rio,Brazil,summer,team,
2016,Venus Williams,Tennis,Mixed Doubles,Silver,"6-7, 1-6",Rio,Brazil,summer,team,
2016,Madison Kocian,Gymnastics,Uneven bars Women,Silver,,Rio,Brazil,summer,individual,
2016,Justin Gatlin,Track & Field,100m Men,Silver,9.89,Rio,Brazil,summer,individual,
2016,LaShawn Merritt,Track & Field,400m Men,Bronze,43.85,Rio,Brazil,summer,individual,
2016,Sarah Robles,Weightlifting,>75kg Women,Bronze,286,Rio,Brazil,summer,individual,
2016,Emma Coburn,Track & Field,3000m Steeplechase Women,Bronze,0.00633831,Rio,Brazil,summer,individual,
2016,Simone Biles,Gymnastics,Balance Beam Women,Bronze,14.733,Rio,Brazil,summer,individual,
2016,Laurie Hernandez,Gymnastics,Balance Beam Women,Silver,15.333,Rio,Brazil,summer,individual,
2016,Clayton Murphy,Track & Field,800m Men,Bronze,0.001191319,Rio,Brazil,summer,individual,
2016,Allyson Felix,Track & Field,400m Women,Silver,49.51,Rio,Brazil,summer,individual,
2016,Sam Kendricks,Track & Field,Pole Vault Men,Bronze,5.85,Rio,Brazil,summer,individual,
2016,Christian Taylor,Track & Field,Triple Jump,Gold,17.86,Rio,Brazil,summer,individual,
2016,Will Claye,Track & Field,Triple Jump,Silver,17.76,Rio,Brazil,summer,individual,
2016,Simone Biles,Gymnastics,Floor Exercise Women,Gold,15.966,Rio,Brazil,summer,individual,
2016,Aly Raisman,Gymnastics,Floor Exercise Women,Silver,15.5,Rio,Brazil,summer,individual,
2016,Danell Leyva,Gymnastics,High Bar Men,Silver,15.5,Rio,Brazil,summer,individual,
2016,Danell Leyva,Gymnastics,Parallel Bars Men,Silver,15.9,Rio,Brazil,summer,individual,
2016,Caleb Paine,Sailing,Men's Finn,Bronze,76,Rio,Brazil,summer,individual,
2016,Sarah Hammer,Cycling,Women's Omnium,Silver,206,Rio,Brazil,summer,individual,
2016,Jennifer Simpson,Track & Field,1500m Women,Bronze,0.002899653,Rio,Brazil,summer,individual,
2016,Jenny Simpson,Track & Field,1500 meters Women,Bronze,0.002899653,Rio,Brazil,summer,individual,
2016,Evan Jager,Track & Field,3000m Steeplechase Women,Silver,0.005605093,Rio,Brazil,summer,individual,
2016,Lucy Davis,Equestrian,Team jumping,Silver,,Rio,Brazil,summer,team,
2016,Kent Farrington,Equestrian,Team jumping,Silver,,Rio,Brazil,summer,team,
2016,McLain Ward,Equestrian,Team jumping,Silver,,Rio,Brazil,summer,team,
2016,McLain Ward,Equestrian,Team jumping,Silver,,Rio,Brazil,summer,team,
2016,Beezie Madden,Equestrian,Team jumping,Silver,,Rio,Brazil,summer,team,
2016,Tianna Bartoletta,Track & Field,Long jump,Gold,7.17,Rio,Brazil,summer,individual,
2016,Brittney Reese,Track & Field,Long jump,Silver,7.15,Rio,Brazil,summer,individual,
2016,Tori Bowie,Track & Field,200m Women,Bronze,22.15,Rio,Brazil,summer,individual,
2016,Brianna Rollins,Track & Field,100m Hurdles Women,Gold,12.48,Rio,Brazil,summer,individual,
2016,Nia Ali,Track & Field,100m Hurdles Women,Silver,12.59,Rio,Brazil,summer,individual,
2016,Kristi Castlin,Track & Field,100m Hurdles Women,Bronze,12.61,Rio,Brazil,summer,individual,
2016,Kerri Walsh Jennings,Volleyball,Beach Volleyball Women,Bronze,,Rio,Brazil,summer,team,
2016,April Ross,Volleyball,Beach Volleyball Women,Bronze,,Rio,Brazil,summer,team,
2016,Kerron Clement,Track & Field,400m Hurdles Men,Gold,:47.73,Rio,Brazil,summer,individual,
2016,Helen,Maroulis,Freestyle 53kg Women,Gold,42461,Rio,Brazil,summer,individual,
2016,Ryan Crouser,Track & Field,Shot Put Men,Gold,22.52,Rio,Brazil,summer,individual,Olympic record
2016,Joe Kovacs,Track & Field,Shot Put Men,Silver,21.78,Rio,Brazil,summer,individual,
2016,Ashton Eaton,Track & Field,Decathlon,Gold,8893,Rio,Brazil,summer,individual,
2016,Dalilah Muhammad,Track & Field,400m Hurdles Women,Gold,53.13,Rio,Brazil,summer,individual,
2016,Alise Post,Cycling,BMX,Silver,34.435,Rio,Brazil,summer,individual,
2016,Connor Fields,Cycling,BMX,Gold,34.622,Rio,Brazil,summer,individual,
2016,Morolake Akinosun,Track & Field,4x100m Relay Women,Gold,41.01,Rio,Brazil,summer,team,Did not run in final
2016,Tianna Bartoletta,Track & Field,4x100m Relay Women,Gold,41.01,Rio,Brazil,summer,team,
2016,Tori Bowie,Track & Field,4x100m Relay Women,Gold,41.01,Rio,Brazil,summer,team,
2016,Allyson Felix,Track & Field,4x100m Relay Women,Gold,41.01,Rio,Brazil,summer,team,
2016,English Gardner,Track & Field,4x100m Relay Women,Gold,41.01,Rio,Brazil,summer,team,
2016,Sandi Morris,Track & Field,Pole Vault Women,Silver,4.85,Rio,Brazil,summer,individual,
2016,Caroline Clark,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Kami Craig,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Rachel Fattal,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Aria Fischer,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Mackenzie Fisher,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Kaleigh Gilchrist,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Samantha Hill,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Ashleigh Johnson,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Courtney Mathewson,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Madeline Musselmann,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Kiley Neushul,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Melissa Seidemann,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Maggie Steffens,Water Polo,Women,Gold,,Rio,Brazil,summer,team,
2016,Gwen Jorgensen,Track & Field,Triathlon,Gold,0.080740741,Rio,Brazil,summer,individual,
2016,Matthew Centrowitz Jr.,Track & Field,1500m Men,Gold,0.002662037,Rio,Brazil,summer,individual,
2016,Semione Augustus,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Sue Bird,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Tamika Catchings,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Tina Charles,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Elena Delle Donne,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Sylvia Fowles,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Brittney Griner,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Angel McCoughtry,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Maya Moore,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Breanna Stewart,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Diana Taurasi,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Lindsay Whalen,Basketball,Women,Gold,,Rio,Brazil,summer,team,
2016,Shakur Stevenson,Boxing,Bantamweight,Silver,,Rio,Brazil,summer,individual,
2016,Rachael Adams,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Foluke Akinradewo,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Kayla Banwarth,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Alisha Glass,Volleyball,Women,Gold,,Rio,Brazil,summer,team,
2016,Christa Harmotto,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Kimberly Hill,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Jordan Larson,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Carli Lloyd,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Karsta Lowe,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Kelly Murphy,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Kelsey Robinson,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Courtney Thompson,Volleyball,Women,Bronze,,Rio,Brazil,summer,team,
2016,Galen Rupp,Track & Field,Men's marathon,Bronze,0.090335648,Rio,Brazil,summer,individual,
2016,Matt Anderson,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Aaron Russell,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Taylor Sander,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,David Lee,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Kawika Shoji,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Reid Priddy,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Murphy Troy,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Thomas Jaeschke,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Micah Christenson,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Max Holt,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,David Smith,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Erik Shoji,Volleyball,Men,Bronze,,Rio,Brazil,summer,team,
2016,Claressa Shields,Boxing,Middleweight Women,Gold,,Rio,Brazil,summer,individual,
2016,Kyle Snyder,Wrestling,Freestyle 97kg Men,Gold,42401,Rio,Brazil,summer,individual,
2016,Carmelo Anthony,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Harrison Barnes,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Jimmy Butler,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,DeMarcus Cousins,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,DeMar DeRozan,Basketball,Men,Gold,,,Rio,summer,team,
2016,Kevin Durant,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Paul George,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Draymond Green,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Kyrie Irving,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,DeAndre Jordan,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Kyle Lowry,Basketball,Men,Gold,,Rio,Brazil,summer,team,
2016,Klay Thompson,Basketball,Men,Gold,,Rio,Brazil,summer,team,
