FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Klay,Thompson,,M,Basketball,Guard,none,"6'7""",215,31450,Los Angeles,Calif.,Los Angeles ,Calif. ,Oakland,Calif.,Washington State University
Seimone,Augustus,,F,Basketball,Guard/Forward,2008-G; 2012-G,"6'1""",165,29340,Baton Rouge,La.,Baton Rouge,La. ,Baker,La.,Louisiana State University '05
Sue,Bird,,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"5'9""",147,28048,New York,N.Y. ,Syosset,N.Y.,Seattle,Wash.,University of Connecticut  '02
Tamika,Catchings,,F,Basketball,Forward,2004-G; 2008-G; 2012-G,"6'2""",170,27595,Stratford,N.J.,Indianapolis,Ind.,Indianapolis,Ind.,University of Tennessee '01
Tina,Charles,,F,Basketball,Center,2012-G,"6'3""",195,31020,Flushing,N.Y.,Queens,N.Y. ,Forest Hills,N.Y. ,University of Connecticut '10
Elena,Delle Donne,,F,Basketball,Guard/Forward,none,"6'5""",190,31294,Wilmington,Del. ,Wilmington,Del.,Wilmington,Del. ,University of Delaware '13
Sylvia,Fowles,,F,Basketball,Center,2008-G; 2012-G,"6'6""",200,29864,Miami,Fla.,Miami,Fla. ,Miami,Fla. ,Louisiana State University '08
Brittney,Griner,,F,Basketball,Center,none,"6'8""",208,31702,Houston,Texas,Houston,Texas,Houston,Texas,Baylor University '13
Angel,McCoughtry,,F,Basketball,Guard/Forward,2012-G,"6'1""",155,30203,Baltimore,Md.,Baltimore,Md.,Smyrna,Ga.,University of Louisville '09
Maya,Moore,,F,Basketball,Forward,2012-G,"6'0""",175,30203,Cole County,Mo.,Atlanta,Ga. ,Smyrna,Ga.,University of Connecticut '11
Breanna,Stewart,,F,Basketball,Forward/Center,none,"6'4""",175,33111,Syracuse,N.Y. ,North Syracuse,N.Y. ,North Syracuse,N.Y. ,University of Connecticut '16
Diana,Taurasi,,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"6'0""",155,28651,Glendale,Calif.,Chino,Calif.,Phoenix,Ariz. ,University of Connecticut'04
Lindsay,Whalen,,F,Basketball,Guard,2012-G,"5'9""",160,28618,Hutchinson,Minn. ,Hutchinson,Minn.,Golden Valley,Minn. ,University of Minnesota
Carlos,Balderas,,M,Boxing,Lightweight - 60 kg.,None,"5'9""",132,33839,Lompoc,Calif.,Santa Maria,Calif.,Santa Maria,Calif.,"Santa Maria High School (Santa Maria, Calif.) '15"
Charles,Conwell,,M,Boxing,Middleweight - 75 kg.,None,"5'9""",165,34274,Detroit,Mich. ,Cleveland,Ohio,Cleveland Heights,Ohio,"Cleveland Heights High School (Cleveland Land Height, Ohio) '16"
Nico,Hernandez,,M,Boxing,Light Flyweight - 49 kg.,None,"5'5""",108,33606,Wichita,Kan.,Wichita,Kan.,Wichita,Kan.,
Gary,Russell,,M,Boxing,Light Welterweight - 64 kg. ,None,"5'8""",141,33768,"Washington, D.C. ",-,"Washington, D.C. ",-,Capitol Heights,Md.,Croom High School
Shakur,Stevenson,,M,Boxing,Bantamweight - 56 kg.,None,"5'8""",123,34147,Newark,N.J.,Newark,N.J.,Colorado Springs,Colo.,Central High School '15
Antonio,Vargas,,M,Boxing,Flyweight - 52 kg.,none,"5'6""",114,33830,Houston,Texas,Kissimmee,Fla. ,Colorado Springs,Colo.,
Mikaela,Mayer,,F,Boxing,Lightweight - 60 kg.,none,"5'9""",132,31596,West Hills,Calif.,Los Angeles,Calif.,Colorado Springs,Colo.,"Northern Michigan University '19, Business Administration"
Claressa,Shields,,F,Boxing,Middleweight - 75 kg.,2012-G,"5'9""",165,33313,Flint,Mich.,Flint,Mich.,Colorado Springs,Colo.,Flint Northwestern High School '13
Casey,Eichfeld,,M,Canoe (Slalom),C1/C2,2008; 2012,"5'10""",170,31365,Harrisburg,Pa. ,Drums,Pa.,Mount Holly,N.C. ,
Devin,McEwan,,M,Canoe (Slalom),C2,none,"5'10""",170,29504,Sharon,Conn.,Salisbury,Conn.,Lakeville,Conn.,The Hotchkiss School '12 
Michal,Smolen,,M,Canoe (Slalom),K1,none,"5'11""",155,32763,Krakow,Poland,Charlotte,N.C.,Gastonia,N.C. ,Queens University
Maggie,Hogan,,F,Canoe (Sprint),K1,none,"5'7""",135,27394,Langhorn,Pa. ,Huntington Beach,Calif. ,Huntington Beach,Calif.,"University of California - Santa Barbara '01, Bio-Psychology, Oklahoma City University '14, MBA"
Ashley,Nee,,F,Canoe (Slalom),K1,none,"5'4""",120,31212,"Washington, D.C. ",-,Darnestown,Md.,Bethesda,Md. ,University of Maryland
Connor,Fields ,,M,Cycling ,BMX - Men's,2012-7th,"6'0""",195,32399,Plano,Texas,Las Vegas,Nev.,Henderson,Nev.,"University of Nevada - Las Vegas '18, Marketing"
Nic ,Long,,M,Cycling ,BMX - Men's,2012-17th,"6'2""",190,31325,San Diego,Calif.,Lakeside,Calif.,Lakeside,Calif.,Grossmont-Cuyamaca Community College
Corben,Sharrah,,M,Cycling ,BMX - Men's,none,"6'0""",188,32252,Tuscon,Ariz.,Tucson,Ariz.,Tuscon,Ariz. ,"University of Arizona '18, Science"
Brooke,Crain,,F,Cycling ,BMX - Women's,2012-8th,"5'4""",123,32626,Visalia,Calif.,Visalia,Calif.,Visalia,Calif.,Marian University
Alise ,Post,,F,Cycling ,BMX - Women's,2012-12th,"5'2""",125,31793,St. Cloud,Minn. ,St. Cloud,Minn.,Chula Vista,Calif.,"University of San Diego '15, Kinesiology"
Howard ,Grotts,,M,Cycling ,Mountain - Men's,none,"5'7""",130,32519,Durango,Colo.,Durango,Colo.,Durango,Colo.,"Fort Lewis College '14, Mathematics"
Lea ,Davison,,F,Cycling ,Mountain - Women's,2012-11th,"5'6""",122,28993,Syracuse,N.Y.,Jericho,Vt. ,Jericho,Vt.,"Middlebury College '05, Environmental Studies"
Chloe ,Woodruff,,F,Cycling ,Mountain - Women's,none,"5'2""",113,30517,Denver,Colo. ,Boulder ,Colo. ,Prescott,Ariz. ,"University of Arizona '10, Communications"
Matt,Baranoski,,M,Cycling ,Keirin,none,"6'0""",212,32715,Perkasie,Pa. ,Perkasie,Pa.,Perkasie,Pa.,"Penn State University '16, Electrical Engineering"
Bobby,Lea,,M,Cycling ,Omnium,2008-16th; 2012-12th,"6'2""",170,29144,Easton,Md.,Topton,Pa.,Mertztown,Pa.,"Penn State University '06, Business Management"
Kelly,Catlin,,F,Cycling ,Team Pursuit,none,"5'6""",140,33544,Saint Paul,Minn. ,Arden Hills,Minn.,Colorado Springs,Colo. ,"University of Minnesota '18, Biomedical Engineering and Chinese"
Chloé ,Dygert,,F,Cycling ,Team Pursuit,none,"5'9""",147,33969,Indianapolis,Ind.,Brownsburg,Ind.,Bremerton,Ind.,Marian University
Sarah ,Hammer,,F,Cycling ,"Omnium, Team Pursuit",2008-5th; 2012-S (2x),"5'7""",145,29084,Torrance ,Calif.,Temecula,Calif.,Colorado Springs ,Colo.,"Palomar College '13, Liberal Studies"
Jennifer,Valente,,F,Cycling ,Team Pursuit,none,"5'9""",165,33230,San Diego,Calif.,San Diego,Calif.,Colorado Springs,Colo.,"University of Colorado-Colorado Springs, Undeclared"
Ruth,Winder,,F,Cycling ,Team Pursuit,none,"5'4""",127,32697,Steeton,United Kingdom,Lafayette,Calif. ,Lafayette,Calif.,"Winder Academy (Lafayette, Calif.) '12"
Brent,Bookwalter,,M,Cycling ,"Road Race, Time Trial",none,"5'11""",150,29266,Albuquerque,N.M.,Grand Rapids,Mich.,Asheville,N.C. ,"Rockford High School (Rockford, Mich.) '02"
Taylor,Phinney,,M,Cycling ,"Road Race, Time Trial","2008-2-4th, 7th; 2012-4th","6'5""",180,31589,Boulder,Colo.,Boulder ,Colo.,Boulder,Colo. ,"Boulder High School (Boulder, Colo.) '07"
Mara,Abbott,,F,Cycling ,Road Race,none,"5'4""",115,29903,Boulder,Colo.,Boulder ,Colo.,Boulder,Colo.,"Whitman College '08, Economics"
Kristin ,Armstrong,,F,Cycling ,"Road Race, Time Trial",2004; 2008-G; 2012-G,"5'8""",128,25425,Memphis,Tenn.,Boise,Idaho,Boise,Idaho,"Universty of Idaho '95, Exercise Physiology"
Megan ,Guarnier,,F,Cycling ,Road Race,none,"5'4""",120,29709,Glens Falls,N.Y.,Glens Falls,N.Y.,San Mateo,Calif.,"Middlebury College '07, Neuroscience"
Evelyn ,Stevens,,F,Cycling ,"Road Race, Time Trial",2012-24th,"5'5""",123,28983,Claremont,Calif.,San Francisco,Calif. ,San Francisco,Calif.,"Dartmouth College '05, Government"
David,Boudia,,M,Diving,"10m Synchro, 10m Individual","2008-5th, 6th; 2012-G,B","5'9""",160,31160,Abilene,Texas,West Lafayette,Ind. ,West Lafayette,Ind.,"Purdue University '14, Communications"
Sam,Dorman,,M,Diving,3m Synchro,none,"5'9""",170,32018,Miami,Fla. ,Tempe,Ariz.,Miami,Fla. ,"University of Miami '15, Mechanical Engineering"
Michael,Hixon,,M,Diving,"3m Synchro, 3m Individual",none,"5'8""",150,33069,Amherst,Mass.,Amherst,Mass.,Bloomington,Ind.,"Indiana University '18, Economic Consulting and Public Policy"
Kristian,Ipsen,,M,Diving,3m Individual,2012-B,"5'7""",160,32435,Walnut Creek,Calif.,Clayton,Calif.,Clayton,Calif.,"Stanford University '15, Science, Technology and Society"
Steele,Johnson,,M,Diving,"10m Synchro, 10m Individual",none,"6'2""",175,33770,Indianapolis,Ind.,Carmel,Ind.,Carmel,Ind.,"Purdue University '18, Film and Video Studies"
Kassidy,Cook,,F,Diving,3m Individual,none,"5'4""",125,33366,Plantation,Fla.,The Woodlands,Texas,The Woodlands,Texas,"Stanford '17, Communications/Advertising"
Amy,Cozad,,F,Diving,10m Synchro,none,"5'3""",113,31902,Indianapolis,Ind.,Indianapolis,Ind.,Indianapolis,Ind.,"Indiana University '13, Mathematics"
Abby,Johnston,,F,Diving,3m Individual,2012-S,"5'5""",135,31366,Upper Arlington,Ohio,Upper Arlington,Ohio,Durham,N.C. ,"Duke University '13, Psychology/Chemistry, Duke University '18, Doctor of Medicine"
Jessica,Parratto,,F,Diving,"10m Synchro, 10m Individual",none,"5'2""",112,33049,Bloomington,Ind.,Dover,N.H.,Bloomington,Ind.,"Indiana University '18, Liberal Studies"
Katrina,Young,,F,Diving,10m Individual,none,"5'4""",132,32151,Shoreline,Wash.,Seattle,Wash.,Tallahassee,Fla.,"Florida State University '14, Commercial Music"
Steffen,Peters,,M,Equestrian ,Dressage,1996-B; 2008-4th; 2012-6th,"5'8""",150,22176,Wesel,Germany,San Diego,Calif.,San Diego,Calif.,"Voerde High School (Voerde, Germany) '84"
Allison ,Brock,,F,Equestrian ,Dressage,none,"5'6""",130,27734,Honolulu,Hawaii,Wellington,Fla. ,Wellington,Fla.,"Kailua High School (Kailua, Hawaii) '97"
Laura,Graves,,F,Equestrian ,Dressage,none,"5'8""",120,30518,Burlington,Vt.,Orlando,Fla. ,Geneva,Fla.,"Harwood Union High School (Duxbury, Vt.) '04"
Kasey,Perry-Glass,,F,Equestrian ,Dressage,none,"5'4""",130,30600,Sacramento,Calif.,Orangevale,Calif.,Wellington,Fla.,"California State University - Sacramento '11, Business Entrepreneurship "
Phillip ,Dutton ,,M,Equestrian ,Eventing,"1996-G; 2000-G; 2004-6th,13th; 2008-7th; 2012-7th, 23rd","5'6""",150,21805,Nyngan,Australia,West Grove,Pa.,West Grove,Pa.,"Newington College ’84, Farming"
Boyd ,Martin ,,M,Equestrian ,Eventing,2012-7th,"6'2""",175,27625,Sydney,Australia,Cochranville,Pa.,Cochranville,Pa.,"Nimbin University '98, Biology"
Clark  ,Montgomery,,M,Equestrian ,Eventing,none,"6'0""",155,28264,Bryan,Texas,Mineral Wells,Texas,Tetbury,United Kingdom,"Bryan High School (Bryan, Texas) ‘97"
Lauren ,Kieffer ,,F,Equestrian ,Eventing,none,"5'10""",150,30472,Mount Carmel,Ill.,Middleburg,Va.,The Plains,Va.,"Mount Carmel High School (Mount Carmel, Ill.) '05"
Kent,Farrington,,M,Equestrian ,Jumping,none,"5'8""",145,28121,Chicago,Ill.,Wellington,Fla. ,Wellington,Fla.,"The Latin School of Chicago (Chicago, Ill.) '99"
McLain,Ward,,M,Equestrian ,Jumping,"2004-G; 2008-G, 6th; 2012-6th, 29th","5'9""",155,26222,Mount Kisco,N.Y.,Brewster,N.Y.,Brewster,N.Y. ,Greenwich Country Day
Lucy,Davis,,F,Equestrian ,Jumping,none,"5'5""",122,32437,Los Angeles,Calif.,Los Angeles ,Calif.,Los Angeles,Calif.,"Stanford University '15, Architectural Design"
Beezie,Madden,,F,Equestrian ,Jumping,"2004-G; 2008-G, B; 2012- ","5'6""",140,21873,Milwaukee,Wis.,Cazenovia,N.Y.,Cazenovia,N.Y. ,"Nicolet High School (Glendale, Wisconsin) '80"
Jason,Pryor,,M,Fencing,Epee,none,"5'9""",175,30584,Cleveland,Ohio,South Euclid,Ohio,South Euclid,Ohio,"The Ohio State University '09, English"
Katharine,Holmes,,F,Fencing,Epee,none,"5'11""",175,32703,"Washington, D.C. ",-,"Washington, D.C. ",-,Princeton,N.J.,"Princeton University '17, Neuroscience"
Courtney,Hurley,,F,Fencing,Epee,2012-B,"5'8""",175,31684,San Antonio,Texas,San Antonio,Texas,San Antonio,Texas,"University of Notre Dame '13, Film, Television & Theater, supplementary major in Computer Applications"
Kelley,Hurley,,F,Fencing,Epee,2008; 2012-B,"5'9""",165,30775,San Antonio,Texas,San Antonio,Texas,San Antonio,Texas,"University of Notre Dame '10, Design"
Kasia,Trzopek,,F,Fencing,Epee,None,"5'9""",164,28250,Warsaw,Poland,Pacifica,Calif. ,Redwood City,Calif.,"Penn State University '06, Philosophy"
Race,Imboden,,M,Fencing,Foil,2012,"6'1""",165,32614,Tampa ,Fla.,Brooklyn,N.Y. ,Brooklyn,N.Y. ,St. John's University
Alexander,Massialas,,M,Fencing,Foil,2012,"6'2""",180,32982,San Francisco,Calif.,San Francisco,Calif.,San Francisco,Calif.,"Stanford University, Engineering"
Gerek,Meinhardt,,M,Fencing,Foil,2008; 2012,"6'0""",175,31619,San Francisco,Calif.,San Francisco,Calif.,San Francisco,Calif.,"University of Notre Dame '13, Management"
Miles,Chamley-Watson,,M,Fencing,Foil,2012,"6'4""",175,31383,New York,N.Y.,New York,N.Y.,New York ,N.Y. ,"Penn State University '13, Sports Management"
Lee,Kiefer,,F,Fencing,Foil,2012,"5'4""",107,33038,Cleveland,Ohio,Lexington,Ky.,Lexington,Ky.,"University of Notre Dame '13, Premed"
Nzingha,Prescod,,F,Fencing,Foil,2012,"5'4""",138,32368,New York,N.Y.,Brooklyn,N.Y.,Brooklyn,N.Y. ,"Columbia University '15, Political Science w / Concentration in Race & Ethnicity"
Eli,Dershwitz,,M,Fencing,Saber,none,"6'1""",170,33503,Boston,Mass.,Sherborn,Mass.,Sherborn,Mass.,Harvard University '19
Daryl,Homer,,M,Fencing,Saber,2012,"5'8""",165,31608,"St. Thomas, Virgin Islands",-,Bronx,N.Y.,New York,N.Y. ,"St. John's University '13, Advertising"
Monica,Aksamit,,F,Fencing,Saber,None,"6'0""",165,31460,Matawan,N.J. ,Matawan,N.J.,Matawan,N.J. ,"Penn State University, Biology"
Ibtihaj,Muhammad,,F,Fencing,Saber,None,"5'7""",150,29923,Maplewood,N.J.,Maplewood,N.J.,Maplewood,N.J.,"Duke University '07, Dual Bachelor's degrees in international relations and African and African-American studies"
Dagmara,Wozniak,,F,Fencing,Saber,2012,"5'8""",180,30863,Wroclaw,Poland,Avenel,N.J.,Avenel,N.J.,"St. John's University '13, Biology"
Mariel,Zagunis,,F,Fencing,Saber,"2004-G; 2008-G, B; 2012","5'8""",160,29647,Portland,Ore.,Portland,Ore.,Beaverton,Ore.,"University of Notre Dame, Anthropology"
Katie,Bam,,F,Field Hockey,Striker,2012,"5'1""",120,31021,Montgomery,Pa. ,Blue Bell,Pa.,Bluebell,Pa. ,University of Maryland - Family Sciences (2013 grad)
Lauren,Crandall,,F,Field Hockey,Defender,2008; 2012,"5'3""",127,29661,Pittsburgh,Pa. ,Doylestown,Pa.,Lancaster,Pa.,"Wake Forest University - Communications (2007 grad), Keller Graduate School of Management"
Rachel,Dawson,,F,Field Hockey,Midfielder,2008; 2012,"5'10""",150,29799,Camden,N.J.,Berlin,N.J.,Berlin,N.J.,University of North Carolina - Business Administration (2007 grad)
Katelyn,Falgowski,,F,Field Hockey,Midfielder,2008; 2012,"5'6""",138,30977,Wilmington,Del. ,Landenberg,Pa.,Mount Joy,Pa.,University of North Carolina - Communications (2011 grad)
Stefanie,Fee,,F,Field Hockey,Defender,none,"5'6""",140,31481,Virginia Beach,Va.,Virginia Beach,Va.,Mount Joy,Pa.,Duke University (2012 grad) - Psychology
Melissa,Gonzalez,,F,Field Hockey,Midfielder,2012,"5'3""",128,31070,Peekskill,N.Y.,Mohegan Lake,N.Y.,Mohegan Lake,N.Y. ,University of Connecticut - Kinesiology & Coaching and Administration (2011 grad)
Michelle,Kasold,,F,Field Hockey,Striker,2012,"5'3""",118,30461,San Jose,Calif.,Chapel Hill,N.C.,Raleigh,N.C. ,Wake Forest University - Sociology (2009 grad)
Jackie,Briggs,,F,Field Hockey,Goalkeeper,none,"5'6""",135,30824,Reading,Pa. ,Robesonia,Pa.,Lancaster,Pa.,University of North Carolina - Studio Art (2010 grad)
Kelsey,Kolojejchick,,F,Field Hockey,Striker,none,"5'3""",135,32051,Kingston,Pa. ,Larksville,Pa.,Larksville,Pa.,University of North Carolina - Communications (2013 grad)
Alyssa,Manley,,F,Field Hockey,Defender,none,"5'2""",118,33019,Lancaster ,Pa. ,Lititz,Pa.,Lititz,Pa.,Syracuse University (2016 grad) - Child and Family studies
Julia,Reinprecht,,F,Field Hockey,Defender,2012,"5'3""",123,31969,Philadelphia,Pa.,Perkasie,Penn.,Perkasie,Pa.,Princeton University - Politics (2014 grad)
Katie,Reinprecht,,F,Field Hockey,Midfielder,2012,"5'4""",125,31351,Philadelphia,Pa. ,Perkasie,Pa.,Perkasie,Pa.,Princeton University - Sociology (2013 grad)
Kathleen,Sharkey,,F,Field Hockey,Striker,none,"5'4""",128,31531,Wilkes-Barre,Pa. ,Moosic,Pa.,Moosic,Pa.,Princeton University - Sociology (2013 grad)
Caitlin,Van Sickle,,F,Field Hockey,Defender,none,"5'5""",130,31437,Wilmington,Del. ,Wilmington,Del.,Lancaster,Pa.,University of North Carolina - Communications (2012 grad)
Michelle,Vittese,,F,Field Hockey,Midfielder,2012,"5'3""",126,31386,Philadelphia,Pa. ,Cherry Hill,N.J.,Cherry Hill,Pa.,University of Virginia - History (2011 grad)
Jill,Witmer,,F,Field Hockey,Striker,none,5'2',116,32050,Lancaster,Pa. ,Lancaster,Pa.,Washington Boro,Pa.,University of Maryland - Family Sciences (2014 grad)
Rickie,Fowler,,M,Golf,,none,"5'9""",150,31028,Murrieta,Calif.,Murrieta,Calif.,Purcellville,Va.,Oklahoma State University
Matt,Kuchar,,M,Golf,,none,"6'4""",190,27200,Winter Park,Fla.,Sea Island,Ga. ,New York,N.Y. ,Georgia Tech University
Patrick,Reed,,M,Golf,,none,"6'0""",200,31628,San Antonio,Texas,Houston,Texas,Houston,Texas,"Augusta State University '09, Bachelor of Science"
Bubba,Watson,,M,Golf,,none,"6'3""",180,27337,Bagdad,Fla.,Bagdad,Fla. ,Scottsdale,Ariz. ,University of Georgia
Stacy,Lewis,,F,Golf,,none,"5'5""",133,29632,Toledo,Ohio,The Woodlands,Texas,Humble,Texas,University of Arkansas - Finance and Accounting (2008 grad)
Gerina,Piller,,F,Golf,,none,"5'7""",142,29673,Roswell,N.M.,Roswell,N.M.,Fort Worth,Texas,"University of Texas - El Paso '07, Mathematics"
Lexi,Thompson,,F,Golf,,none,"5'11""",160,33278,Coral Springs,Fla.,Coral Springs,Fla. ,Coral Springs,Fla.,"Broward Virtual High School (Coral Springs, Florida) '12"
Chris,Brooks,,M,Gymnastics,Artistic – Team ,none,"5'8""",165,30303,Houston,Texas,Houston,Texas,Colorado Springs,Colo.,"University of Oklahoma, Business Management"
Jake,Dalton,,M,Gymnastics,Artistic – Team ,2012-5th,"5'5""",150,31979,Oak Lawn,Ill.,Sparks,Nev.,Gilbert,Ariz. ,"University of Oklahoma '14, Human Relations"
Sam,Mikulak,,M,Gymnastics,Artistic – Team ,2012,"5'5""",140,32428,Corona del Mar,Calif.,Newport Beach,Calif.,Colorado Springs,Colo.,"University of Michigan '14, Psychology "
Alex,Naddour,,M,Gymnastics,Artistic – Team ,none,"5'7""",155,31839,Mesa,Ariz.,Gilbert,Ariz.,Queen Creek,Ariz. ,"University of Oklahoma, Business"
Danell,Leyva,,M,Gymnastics,Artistic – Team ,"2012-B, 5th","5'7""",150,32079,Cardenas,Cuba,Homestead,Fla. ,Homestead,Fla.,Homeschooled  '10
Simone,Biles,,F,Gymnastics,Artistic – Team ,none,"4'8""",115,34041,Columbus,Ohio,Spring,Texas,Spring,Texas,Home School '15
Gabby,Douglas,,F,Gymnastics,Artistic – Team ,"2012-2G, 7th, 8th","5'2""",110,33602,Newport News,Va.,Los Angeles,Calif.,Tarzana,Calif.,"Oak Park High School (Oakpark, Calif.) '15"
Laurie,Hernandez,,F,Gymnastics,Artistic – Team ,none,"5'0""",107,35224,New Brunswick,N.J.,Old Bridge,N.J.,Old Bridge,N.J.,"Abeka Academy (Old Bridge, N.J.) '18"
Madison,Kocian,,F,Gymnastics,Artistic – Team ,none,"5'2""",102,34134,Dallas,Texas,Dallas,Texas,Dallas,Texas,"Spring Creek Academy (Plano, Texas) '15"
Aly,Raisman,,F,Gymnastics,Artistic – Team ,"2012-2G, 1B","5'2""",115,33017,Boston,Mass.,Needham,Mass.,Needham,Mass.,"Needham High School '12 (Needham Heights, Mass.)"
Natalie,McGiffert,,F,Gymnastics,Rhythmic group,none,"5'3""",97,34041,Los Angeles,Calif.,Topanga,Calif.,Northbrook,Ill. ,"Glenbrook High School (Northbrook, Ill.) '15"
Kiana,Eide,,F,Gymnastics,Rhythmic group,none,5'3,118,34601,Fridley,Minn. ,St. Francis,Minn.,Northbrook,Ill. ,"Glenbrook North High School (Northbrook, Ill.) '17"
Alisa,Kano,,F,Gymnastics,Rhythmic group,none,"5'4""",105,33183,Tokyo,Japan,New York,N.Y.,Glencoe,Ill. ,"Oakton Community College, Undeclared"
Monica,Rokhman,,F,Gymnastics,Rhythmic group,none,"5'8""",123,34115,Northbrook,Ill.,Northbrook,Ill.,Northbrook,Ill. ,"Glenbrook North High School (Northbrook, Ill.) '15"
Kristen,Shaldybin,,F,Gymnastics,Rhythmic group,none,"5'9""",125,34188,Woonsocket,R.I.,Brooklyn,N.Y.,Highwood,Ill. ,"Highland Park High School (Highland Park, Ill.) '16"
Laura,Zeng,,F,Gymnastics,Rhythmic individual ,none,"5'3""",95,34985,Hartford,Conn.,Libertyville,Ill.,Libertyville,Ill. ,"Libertyville High School (Libertyville, Ill.) '18"
Logan,Dooley,,M,Gymnastics,Trampoline ,none,"5'9""",130,30584,Mission Viejo,Calif.,Lake Forest,Calif.,Lake Forest,Calif.,"Saddleback College '11, Child Development"
Nicole,Ahsinger,,F,Gymnastics,Trampoline ,none,"5'4""",128,34465,San Diego,Calif.,San Diego,Calif.,Lafayette,La.,"Scripps Ranch (San Diego, Calif.) '16"
Colton,Brown,,M,Judo,90 kg.,none,"6'0""",200,32057,San Jose,Calif.,Piscataway,N.J.,San Jose,Calif.,San Jose State University
